0.01, -0.01450404, 0, 7.083184, 0, 0.000563093997058525282537, 43331.04, -1618.013, -2.423912, 0.004900447, 0.07899015, 332.9099, 1.465392, 1.160977, 2.509531
 
0.02, 0.097978, -0.0001450404, 7.078497, 0, -0.0037970884160130106289572198, 43256.07, -1618.688, -2.423912, 0.004900447, 0.07899015, 332.6928, 1.465185, 1.160977, 2.509531
 
0.03, 0.08332893, 0.0008347395, 7.077112, 0, -0.0033433780216970490768198904, 43181.26, -1620.118, -2.423912, 0.004900447, 0.07899015, 332.4759, 1.464905, 1.160977, 2.509531
 
0.04, 0.06628373, 0.001668029, 7.075542, 0, -0.00277725637385230434782, 43106.63, -1621.506, -2.423912, 0.004900447, 0.07899015, 332.2593, 1.464628, 1.160977, 2.509531
 
0.05, 0.04748068, 0.002330866, 7.073781, 0, -0.00212024415164249336828, 43032.18, -1622.85, -2.423912, 0.004900447, 0.07899015, 332.0431, 1.464353, 1.160977, 2.509531
 
0.05999999, 0.02764498, 0.002805673, 7.071824, 0, -0.00139824093182007079292, 42957.9, -1624.149, -2.423912, 0.004900447, 0.07899015, 331.8271, 1.464079, 1.160977, 2.509531
 
0.06999999, 0.007421296, 0.003082123, 7.069662, 0, -0.00063504055840106577661, 42883.78, -1625.402, -2.423912, 0.004900447, 0.07899015, 331.6114, 1.463806, 1.160977, 2.509531
 
0.07999999, -0.01250081, 0.003156336, 7.067305, 0, 0.000142810912354121096982, 42809.91, -1626.608, -2.423912, 0.004900447, 0.07899015, 331.3963, 1.463527, 1.160977, 2.509531
 
0.08999999, -0.03144204, 0.003031328, 7.06473, 0, 0.0009082278976868341085007630, 42736.22, -1627.764, -2.423912, 0.004900447, 0.07899015, 331.1815, 1.463223, 1.160977, 2.509531
 
0.09999999, -0.04880247, 0.002716907, 7.061946, 0, 0.00163616264990459484591, 42662.7, -1628.87, -2.423912, 0.004900447, 0.07899015, 330.967, 1.462921, 1.160977, 2.509531
 
0.11, -0.06407796, 0.002228883, 7.058945, 0, 0.00230438333377085454698, 42589.34, -1629.927, -2.423912, 0.004900447, 0.07899015, 330.7528, 1.46262, 1.160977, 2.509531
 
0.12, -0.07686406, 0.001588103, 7.055731, 0, 0.0028938256643494292266118161, 42516.18, -1630.933, -2.423912, 0.004900447, 0.07899015, 330.5389, 1.462322, 1.160977, 2.509531
 
0.13, -0.08681818, 0.0008194624, 7.052286, 0, 0.00338725884784067438483, 42443.16, -1631.886, -2.423912, 0.004900447, 0.07899015, 330.3253, 1.462026, 1.160977, 2.509531
 
0.14, -0.09368985, -4.871938E-05, 7.048621, 0, 0.0037705791632001121271893951, 42370.33, -1632.786, -2.423912, 0.004900447, 0.07899015, 330.1119, 1.461733, 1.160977, 2.509531
 
0.15, -0.09740433, -0.0009856179, 7.044724, 0, 0.00403635138910848253958, 42297.66, -1633.632, -2.423912, 0.004900447, 0.07899015, 329.8989, 1.461443, 1.160977, 2.509531
 
0.16, -0.09788325, -0.001959661, 7.040592, 0, 0.00417684158371729006275, 42225.16, -1634.423, -2.423912, 0.004900447, 0.07899015, 329.6862, 1.461155, 1.160977, 2.509531
 
0.17, -0.09528267, -0.002938494, 7.036225, 0, 0.00419366873493018427995, 42152.84, -1635.157, -2.423912, 0.004900447, 0.07899015, 329.4738, 1.460871, 1.160977, 2.509531
 
0.18, -0.08975521, -0.003891321, 7.031615, 0, 0.0040885174722563791920, 42080.68, -1635.834, -2.423912, 0.004900447, 0.07899015, 329.2617, 1.460589, 1.160977, 2.509531
 
0.19, -0.08155426, -0.004788873, 7.026765, 0, 0.0038674002765329920560278119, 42008.71, -1636.454, -2.423912, 0.004900447, 0.07899015, 329.0499, 1.46031, 1.160977, 2.509531
 
0.2, -0.0710264, -0.005604415, 7.021667, 0, 0.00354050801017904981380, 41936.9, -1637.013, -2.423912, 0.004900447, 0.07899015, 328.8384, 1.460033, 1.160977, 2.509531
 
