# Simulation 4 (Up to date)
# 2266 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (48 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
2e-3,-1.692e-5,-0.01692,-8.46,0.01693,8.4652,0,5.9086e-7,5.9086e-7,90,5.9086e-4,0.29543,55.7,-4.81,9.8149,90.15,0,0,0,1532.2,600.98,0.10118,4.508e-4,NaN,62.403,NaN,0.019101,425638,2.0588,0,0.57886,-2.588e-8,0.45119,0.012786,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4618e-6,4.6,16.619,88,-90,6.4831,13.375,983.94,339.4,2e-3,0.0022244
4e-3,-1.1548e-5,-0.011548,-5.7742,0.011555,5.7777,0,4.0328e-7,4.0328e-7,90,4.0328e-4,0.20164,55.7,-4.81,9.8149,90.102,0,0,0,1532.2,600.97,0.10118,4.508e-4,NaN,62.403,NaN,0.019068,424894,6.1765,0,0.57903,-8.2783e-9,0.45136,0.012786,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.9771e-7,4.6,16.619,88,-90,6.4718,13.375,983.94,339.4,2e-3,0.003048
6e-3,-6.1767e-6,-0.0061767,-3.0883,0.0061805,3.0902,0,2.157e-7,2.157e-7,90,2.1569e-4,0.10785,55.7,-4.81,9.8149,90.055,0,0,0,1532.2,600.95,0.10118,4.508e-4,NaN,62.402,NaN,0.019035,424150,10.294,0,0.5792,0,0.45153,0.012786,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3362e-7,4.6,16.619,88,-90,6.4604,13.375,983.94,339.4,2e-3,0.003583
8e-3,-8.0484e-7,-8.048e-4,-0.40235,8.0529e-4,0.40259,0,2.8106e-8,2.8106e-8,90,2.8104e-5,0.01405,55.7,-4.81,9.8149,90.007,0,0,0,1532.1,600.93,0.10118,4.5079e-4,NaN,62.402,NaN,0.019001,423406,14.412,0,0.57937,0,0.4517,0.012786,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.953e-8,4.6,16.619,88,-90,6.4491,13.375,983.94,339.4,2e-3,0.0040915
0.01,4.5672e-6,0.0045672,2.2837,0.00457,2.2851,0,-1.5949e-7,1.5949e-7,-90,1.5949e-4,0.079748,55.7,-4.81,9.8149,89.959,0,0,0,1532.1,600.91,0.10118,4.5079e-4,NaN,62.402,NaN,0.018968,422663,18.529,0,0.57954,0,0.45187,0.012785,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9458e-7,4.6,16.619,88,-90,6.4378,13.375,983.94,339.4,2e-3,0.0046061
0.012,2.3641e-5,0.014507,4.9698,0.014515,4.9728,0,-8.2556e-7,8.2556e-7,-90,5.0658e-4,0.17355,55.7,-4.81,9.8149,89.871,0,0,0,1532.1,600.9,0.10118,4.5079e-4,NaN,62.402,NaN,0.018935,421921,22.647,0,0.57971,1.6773e-8,0.45205,0.012785,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2533e-6,4.6,16.619,88,-90,6.4265,13.375,983.94,339.4,2e-3,0.0052141
0.014,6.7965e-5,0.029818,7.6559,0.029836,7.6606,0,-2.3734e-6,2.3734e-6,-90,0.0010413,0.26735,55.7,-4.81,9.8149,89.734,0,0,0,1532.1,600.88,0.10118,4.5078e-4,NaN,62.402,NaN,0.018901,421181,26.765,5.9841e-9,0.57989,1.4627e-7,0.45222,0.012785,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5761e-6,4.6,16.619,88,-90,6.4152,13.375,983.94,339.4,2e-3,0.0057787
0.016,1.4829e-4,0.050502,10.342,0.050533,10.348,0,-5.1782e-6,5.1782e-6,-90,0.0017636,0.36115,55.7,-4.81,9.8149,89.548,0,0,0,1532.1,600.86,0.10118,4.5078e-4,NaN,62.402,NaN,0.018868,420446,30.882,2.9077e-8,0.58006,7.1323e-7,0.45239,0.012785,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.363e-6,4.6,16.619,88,-90,6.4038,13.375,983.94,339.4,2e-3,0.006261
0.018,2.8132e-4,0.082536,16.018,0.082586,16.028,0,-9.824e-6,9.824e-6,-90,0.0028822,0.55937,55.7,-4.81,9.8149,89.26,0,0,0,1532,600.77,0.10117,4.5076e-4,NaN,62.401,NaN,0.018836,419724,39.581,1.2681e-7,0.58023,3.1212e-6,0.45256,0.012785,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1305e-6,4.6,16.619,88,-90,6.3925,13.375,983.94,339.4,2e-3,0.0068108
0.02,5.2565e-4,0.16179,39.631,0.16189,39.655,0,-1.8356e-5,1.8356e-5,-90,0.0056499,1.3839,55.7,-4.81,9.8149,88.547,0,0,0,1531.8,600.61,0.10117,4.5074e-4,NaN,62.399,NaN,0.018807,419081,75.769,9.5009e-7,0.58038,2.3457e-5,0.45271,0.012785,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3978e-5,4.6,16.619,88,-90,6.3812,13.375,983.94,339.4,2e-3,0.0073041
0.022,9.817e-4,0.29426,66.238,0.29444,66.278,0,-3.4282e-5,3.4282e-5,-90,0.010276,2.3131,55.7,-4.81,9.8149,87.353,0,0,0,1531.6,600.44,0.10116,4.5071e-4,NaN,62.397,NaN,0.018788,418649,116.54,5.6557e-6,0.58048,1.3992e-4,0.45281,0.012785,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5422e-5,4.6,16.619,88,-90,6.3699,13.375,983.94,339.4,2e-3,0.0077679
0.024,0.0017559,0.47995,92.85,0.48024,92.907,0,-6.1318e-5,6.1318e-5,-90,0.01676,3.2424,55.7,-4.81,9.8149,85.681,0,0,0,1531.5,600.28,0.10115,4.5068e-4,NaN,62.395,NaN,0.018788,418648,157.31,2.415e-5,0.58048,5.9747e-4,0.45281,0.012785,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1464e-5,4.6,16.619,88,-90,6.3585,13.375,983.94,339.4,2e-3,0.0082449
0.026,0.0029547,0.71887,119.47,0.71931,119.54,0,-1.0318e-4,1.0318e-4,-90,0.025104,4.1719,55.7,-4.81,9.8149,83.534,0,0,0,1531.3,600.11,0.10115,4.5065e-4,NaN,62.393,NaN,0.018821,419383,198.08,7.9394e-5,0.58031,0.0019573,0.45264,0.012785,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.2106e-5,4.6,16.619,88,-90,6.3472,13.375,983.94,339.4,2e-3,0.0087203
0.028,0.0046846,1.011,146.09,1.0117,146.18,0,-1.6359e-4,1.6359e-4,-90,0.035306,5.1017,55.7,-4.81,9.8149,80.928,0,0,0,1531.2,599.95,0.10114,4.5062e-4,NaN,62.392,NaN,0.018904,421242,238.85,2.1475e-4,0.57987,0.0052477,0.4522,0.012785,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7347e-5,4.6,16.619,88,-90,6.3359,13.375,983.94,339.4,2e-3,0.0091575
0.03,0.0070521,1.3565,172.72,1.3573,172.83,0,-2.4627e-4,2.4627e-4,-90,0.047369,6.0316,55.7,-4.81,9.8149,77.888,0,0,0,1531,599.78,0.10114,4.5059e-4,NaN,62.39,NaN,0.019059,424683,279.62,5.0093e-4,0.57908,0.012043,0.45141,0.012786,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1719e-4,4.6,16.619,88,-90,6.3246,13.375,983.94,339.4,2e-3,0.009585
0.032,0.010149,1.7403,191.95,1.7414,192.06,0,-3.5441e-4,3.5441e-4,-90,0.060773,6.7029,55.7,-4.81,9.8149,74.58,0,0,0,1530.7,599.47,0.10112,4.5053e-4,NaN,62.386,NaN,0.019296,429964,309,0.0010163,0.57787,0.023837,0.4502,0.012786,0.11489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5035e-4,4.6,16.619,88,-90,6.3132,13.375,983.94,339.4,2e-3,0.010084
0.034,0.014037,2.1478,203.74,2.1491,203.87,0,-4.9018e-4,4.9018e-4,-90,0.075001,7.1148,55.7,-4.81,9.8149,71.17,0,0,0,1530.4,599.15,0.10111,4.5047e-4,NaN,62.383,NaN,0.019618,437138,327,0.0018281,0.57626,0.041481,0.44859,0.012787,0.11489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8555e-4,4.6,16.619,88,-90,6.3019,13.375,983.94,339.4,2e-3,0.010559
0.036,0.01876,2.5754,213.86,2.577,213.99,0,-6.5512e-4,6.5512e-4,-90,0.089936,7.468,55.7,-4.81,9.8149,67.723,0,0,0,1530,598.83,0.1011,4.5041e-4,NaN,62.379,NaN,0.020029,446310,342.42,0.0030061,0.57426,0.065438,0.44658,0.012788,0.11489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.225e-4,4.6,16.619,88,-90,6.2906,13.375,983.93,339.4,2e-3,0.011063
# Event LIFTOFF occurred at t=0.038 seconds
0.038,0.024339,3.0031,213.85,3.0049,213.98,0,-8.4992e-4,8.4992e-4,-90,0.10487,7.4678,55.7,-4.81,9.8149,64.427,0,0,0,1529.7,598.5,0.10108,4.5035e-4,NaN,62.376,NaN,0.02051,457028,342.33,0.0045413,0.57199,0.094274,0.44431,0.012789,0.11489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5945e-4,4.6,16.619,88,-90,6.2793,13.375,983.93,339.4,2e-3,0.011705
0.04,0.030769,3.4273,212.15,3.4294,212.28,0,-0.0010745,0.0010745,-90,0.11969,7.4085,55.7,-4.81,9.8149,61.315,0,0,0,1529.4,598.17,0.10107,4.503e-4,NaN,62.372,NaN,0.021051,469079,339.67,0.0064306,0.56951,0.12672,0.44183,0.01279,0.11489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.961e-4,4.6,16.619,88,-90,6.268,13.375,983.93,339.4,2e-3,0.01231
0.042,0.038045,3.8482,210.46,3.8505,210.58,0,-0.0013285,0.0013285,-90,0.13438,7.3493,55.7,-4.81,9.8149,58.39,0,0,0,1529,597.84,0.10106,4.5024e-4,NaN,62.368,NaN,0.021646,482326,337,0.0086703,0.56689,0.1616,0.4392,0.012792,0.1149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3246e-4,4.6,16.619,88,-90,6.2566,13.375,983.93,339.4,2e-3,0.012761
0.044,0.046158,4.2657,208.76,4.2683,208.89,0,-0.0016119,0.0016119,-90,0.14896,7.29,55.7,-4.81,9.8149,55.65,0,0,0,1528.7,597.51,0.10105,4.5018e-4,NaN,62.365,NaN,0.022288,496635,334.33,0.01125,0.56416,0.19778,0.43647,0.012793,0.1149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6852e-4,4.6,16.619,88,-90,6.2453,13.375,983.93,339.4,2e-3,0.013206
0.046,0.055104,4.6797,207.06,4.6826,207.19,0,-0.0019243,0.0019243,-90,0.16342,7.2307,55.7,-4.81,9.8149,53.088,0,0,0,1528.4,597.18,0.10103,4.5012e-4,NaN,62.361,NaN,0.022972,511881,331.67,0.014156,0.56136,0.23426,0.43366,0.012795,0.1149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.043e-4,4.6,16.619,88,-90,6.234,13.375,983.93,339.4,2e-3,0.013745
0.048,0.064874,5.0904,205.36,5.0935,205.49,0,-0.0022654,0.0022654,-90,0.17776,7.1714,55.7,-4.81,9.8149,50.698,0,0,0,1528.1,596.85,0.10102,4.5006e-4,NaN,62.358,NaN,0.023693,527948,329,0.017371,0.55854,0.27023,0.43083,0.012797,0.11491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3978e-4,4.6,16.619,88,-90,6.2227,13.375,983.93,339.4,2e-3,0.014252
0.05,0.075462,5.4977,203.66,5.5011,203.78,0,-0.0026352,0.0026352,-90,0.19198,7.112,55.7,-4.81,9.8149,48.47,0,0,0,1527.7,596.52,0.10101,4.5e-4,NaN,62.354,NaN,0.024446,544731,326.33,0.020875,0.5557,0.30503,0.42799,0.012799,0.11491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.7496e-4,4.6,16.619,88,-90,6.2113,13.375,983.93,339.4,2e-3,0.01471
0.052,0.08686,5.9,201.19,5.9036,201.31,0,-0.0030332,0.0030332,-90,0.20603,7.0257,55.7,-4.81,9.8149,46.475,0,0,0,1527.4,596.23,0.101,4.4994e-4,NaN,62.351,NaN,0.025258,562811,322.5,0.024604,0.55277,0.33681,0.42505,0.012802,0.11492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0972e-4,4.6,16.619,88,-90,6.2157,13.375,983.93,339.4,2e-3,0.015159
0.054,0.099056,6.2959,197.96,6.2998,198.08,0,-0.0034591,0.0034591,-90,0.21986,6.9128,55.7,-4.81,9.8149,44.635,0,0,0,1527.1,595.93,0.10098,4.4989e-4,NaN,62.347,NaN,0.026084,581228,317.5,0.028547,0.54991,0.3664,0.42218,0.012804,0.11492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4392e-4,4.6,16.619,88,-90,6.2201,13.375,983.93,339.4,2e-3,0.015599
0.056,0.11204,6.6853,194.72,6.6894,194.84,0,-0.0039124,0.0039124,-90,0.23346,6.7998,55.7,-4.81,9.8149,42.938,0,0,0,1526.8,595.64,0.10097,4.4984e-4,NaN,62.344,NaN,0.026922,599896,312.5,0.032678,0.54713,0.39373,0.4194,0.012807,0.11493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7757e-4,4.6,16.619,88,-90,6.2245,13.375,983.92,339.4,2e-3,0.016033
0.058,0.12579,7.0683,191.48,7.0726,191.6,0,-0.0043927,0.0043927,-90,0.24683,6.6868,55.7,-4.81,9.8149,41.371,0,0,0,1526.5,595.34,0.10096,4.4979e-4,NaN,62.341,NaN,0.027768,618739,307.5,0.036975,0.54444,0.41878,0.4167,0.01281,0.11494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.1065e-4,4.6,16.619,88,-90,6.2289,13.375,983.92,339.4,2e-3,0.016485
0.06,0.1403,7.4447,188.25,7.4493,188.36,0,-0.0048995,0.0048995,-90,0.25998,6.5737,55.7,-4.81,9.8149,39.921,0,0,0,1526.3,595.05,0.10095,4.4973e-4,NaN,62.338,NaN,0.028618,637691,302.5,0.041417,0.54184,0.44162,0.41409,0.012812,0.11494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.4317e-4,4.6,16.619,88,-90,6.2332,13.375,983.92,339.4,2e-3,0.017103
0.062,0.15556,7.8147,185.01,7.8195,185.12,0,-0.0054324,0.0054324,-90,0.2729,6.4606,55.7,-4.81,9.8149,38.579,0,0,0,1526,594.75,0.10094,4.4968e-4,NaN,62.334,NaN,0.029471,656695,297.5,0.045985,0.53934,0.46236,0.41157,0.012815,0.11495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.7514e-4,4.6,16.619,88,-90,6.2376,13.374,983.92,339.4,2e-3,0.017599
0.064,0.17156,8.1782,181.77,8.1832,181.88,0,-0.0059909,0.0059909,-90,0.28559,6.3474,55.7,-4.81,9.8149,37.336,0,0,0,1525.7,594.46,0.10093,4.4963e-4,NaN,62.331,NaN,0.030324,675700,292.5,0.050659,0.53692,0.48111,0.40915,0.012818,0.11495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.0654e-4,4.6,16.619,88,-90,6.242,13.374,983.92,339.4,2e-3,0.018094
0.066,0.18827,8.5352,178.52,8.5404,178.63,0,-0.0065745,0.0065745,-90,0.29806,6.2342,55.7,-4.81,9.8149,36.181,0,0,0,1525.4,594.17,0.10091,4.4957e-4,NaN,62.328,NaN,0.031175,694662,287.5,0.055424,0.5346,0.49801,0.40682,0.012821,0.11496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.3738e-4,4.6,16.619,88,-90,6.2464,13.374,983.91,339.4,2e-3,0.018602
0.068,0.20569,8.8857,175.28,8.8912,175.39,0,-0.0071829,0.0071829,-90,0.3103,6.121,55.7,-4.81,9.8149,35.108,0,0,0,1525.1,593.87,0.1009,4.4952e-4,NaN,62.325,NaN,0.032022,713543,282.5,0.060263,0.53238,0.51322,0.40458,0.012824,0.11497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.6767e-4,4.6,16.619,88,-90,6.2507,13.374,983.91,339.4,2e-3,0.019228
0.07,0.22381,9.2298,172.04,9.2354,172.14,0,-0.0078155,0.0078155,-90,0.32231,6.0077,55.7,-4.81,9.8149,34.11,0,0,0,1524.8,593.58,0.10089,4.4947e-4,NaN,62.321,NaN,0.032865,732307,277.5,0.065163,0.53024,0.52687,0.40244,0.012828,0.11497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.9739e-4,4.6,16.619,88,-90,6.2551,13.374,983.91,339.4,2e-3,0.019686
0.072,0.24261,9.5709,170.59,9.5768,170.69,0,-0.008472,0.008472,-90,0.33422,5.957,55.7,-4.81,9.8149,33.169,0,0,0,1524.5,593.3,0.10088,4.4942e-4,NaN,62.318,NaN,0.033709,751123,275.24,0.070163,0.52816,0.53923,0.40035,0.012831,0.11498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.2686e-4,4.6,16.619,88,-90,6.2595,13.374,983.91,339.4,2e-3,0.020106
0.074,0.26209,9.9128,170.94,9.9188,171.04,0,-0.0091524,0.0091524,-90,0.34616,5.9692,55.7,-4.81,9.8149,32.273,0,0,0,1524.2,593.02,0.10087,4.4937e-4,NaN,62.315,NaN,0.034564,770171,275.73,0.07531,0.52613,0.55052,0.39831,0.012834,0.11499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.564e-4,4.6,16.619,88,-90,6.2639,13.374,983.91,339.4,2e-3,0.020514
0.076,0.28226,10.255,171.28,10.262,171.39,0,-0.0098567,0.0098567,-90,0.35812,5.9813,55.7,-4.81,9.8149,31.419,0,0,0,1523.9,592.74,0.10086,4.4932e-4,NaN,62.312,NaN,0.035429,789437,276.21,0.080602,0.52415,0.56079,0.39632,0.012838,0.115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8599e-4,4.6,16.619,88,-90,6.2683,13.374,983.9,339.4,2e-3,0.020956
0.078,0.30311,10.599,171.63,10.605,171.74,0,-0.010585,0.010585,-90,0.37011,5.9935,55.7,-4.81,9.8149,30.603,0,0,0,1523.7,592.46,0.10085,4.4926e-4,NaN,62.309,NaN,0.036303,808909,276.7,0.086041,0.52225,0.57015,0.3944,0.012842,0.115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.1564e-4,4.6,16.619,88,-90,6.2726,13.373,983.9,339.4,2e-3,0.021386
0.08,0.32465,10.942,171.98,10.949,172.08,0,-0.011337,0.011337,-90,0.38212,6.0057,55.7,-4.81,9.8149,29.825,0,0,0,1523.4,592.18,0.10083,4.4921e-4,NaN,62.306,NaN,0.037185,828576,277.19,0.091617,0.52038,0.57863,0.39252,0.012845,0.11501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.4536e-4,4.6,16.619,88,-90,6.277,13.373,983.9,339.4,2e-3,0.021855
0.082,0.34688,11.287,172.33,11.294,172.43,0,-0.012113,0.012113,-90,0.39415,6.0178,55.7,-4.81,9.8149,29.082,0,0,0,1523.1,591.9,0.10082,4.4916e-4,NaN,62.303,NaN,0.038076,848430,277.67,0.097328,0.51856,0.58627,0.39069,0.012849,0.11502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.7513e-4,4.6,16.619,88,-90,6.2814,13.373,983.9,339.4,2e-3,0.022289
0.084,0.3698,11.632,172.68,11.64,172.78,0,-0.012914,0.012914,-90,0.40621,6.03,55.7,-4.81,9.8149,28.371,0,0,0,1522.8,591.63,0.10081,4.4911e-4,NaN,62.3,NaN,0.038975,868460,278.16,0.10317,0.51677,0.59313,0.38889,0.012853,0.11503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001005,4.6,16.619,88,-90,6.2858,13.373,983.89,339.4,2e-3,0.022739
0.086,0.39341,11.978,173.02,11.986,173.13,0,-0.013738,0.013738,-90,0.4183,6.0421,55.7,-4.81,9.8149,27.691,0,0,0,1522.6,591.35,0.1008,4.4906e-4,NaN,62.297,NaN,0.039882,888658,278.64,0.10915,0.51503,0.59928,0.38713,0.012858,0.11504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010349,4.6,16.619,88,-90,6.2901,13.373,983.89,339.4,2e-3,0.023181
0.088,0.41772,12.325,173.37,12.333,173.48,0,-0.014587,0.014587,-90,0.4304,6.0543,55.7,-4.81,9.8149,27.039,0,0,0,1522.3,591.07,0.10079,4.4901e-4,NaN,62.294,NaN,0.040796,909016,279.13,0.11525,0.51332,0.60476,0.38541,0.012862,0.11505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010648,4.6,16.619,88,-90,6.2945,13.373,983.89,339.4,2e-3,0.023635
0.09,0.44271,12.673,173.72,12.68,173.83,0,-0.01546,0.01546,-90,0.44254,6.0665,55.7,-4.81,9.8149,26.416,0,0,0,1522,590.79,0.10078,4.4896e-4,NaN,62.291,NaN,0.041716,929527,279.61,0.12148,0.51165,0.60962,0.38373,0.012866,0.11506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010948,4.6,16.619,88,-90,6.2989,13.373,983.88,339.4,2e-3,0.024291
0.092,0.46841,13.021,174.07,13.029,174.18,0,-0.016357,0.016357,-90,0.45469,6.0786,55.7,-4.81,9.8149,25.818,0,0,0,1521.7,590.51,0.10077,4.4891e-4,NaN,62.288,NaN,0.042643,950185,280.1,0.12783,0.51002,0.6139,0.38208,0.012871,0.11507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011249,4.6,16.619,88,-90,6.3033,13.372,983.88,339.4,2e-3,0.025085
0.094,0.4948,13.369,174.42,13.378,174.52,0,-0.017279,0.017279,-90,0.46687,6.0908,55.7,-4.81,9.8149,25.244,0,0,0,1521.4,590.23,0.10076,4.4886e-4,NaN,62.284,NaN,0.043577,970983,280.59,0.1343,0.50842,0.61766,0.38047,0.012876,0.11508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001155,4.6,16.619,88,-90,6.3076,13.372,983.88,339.4,2e-3,0.025753
0.096,0.52189,13.719,174.77,13.727,174.87,0,-0.018225,0.018225,-90,0.47908,6.103,55.7,-4.81,9.8149,24.694,0,0,0,1521.2,589.95,0.10075,4.4881e-4,NaN,62.281,NaN,0.044516,991916,281.07,0.1409,0.50686,0.62093,0.37889,0.012881,0.11509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011852,4.6,16.619,88,-90,6.312,13.372,983.88,339.4,2e-3,0.026263
0.098,0.54967,14.069,175.12,14.078,175.22,0,-0.019195,0.019195,-90,0.49131,6.1152,55.7,-4.81,9.8149,24.165,0,0,0,1520.9,589.68,0.10074,4.4876e-4,NaN,62.278,NaN,0.045462,1012978,281.56,0.14761,0.50533,0.62374,0.37735,0.012886,0.1151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012155,4.6,16.619,88,-90,6.3164,13.372,983.87,339.4,2e-3,0.026756
0.1,0.57816,14.42,175.46,14.429,175.57,0,-0.02019,0.02019,-90,0.50356,6.1273,55.7,-4.81,9.8149,23.657,0,0,0,1520.6,589.4,0.10072,4.4871e-4,NaN,62.275,NaN,0.046413,1034165,282.04,0.15444,0.50383,0.62614,0.37583,0.012891,0.11511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012458,4.6,16.619,88,-90,6.3208,13.372,983.87,339.4,2e-3,0.02731
0.102,0.60736,14.772,175.81,14.781,175.92,0,-0.021209,0.021209,-90,0.51584,6.1395,55.7,-4.81,9.8149,23.106,0,0,0,1520.3,589.12,0.10071,4.4866e-4,NaN,62.272,NaN,0.047348,1054989,282.53,0.16137,0.5024,0.62866,0.37438,0.012896,0.11512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012762,4.6,16.619,88,-90,6.3064,13.371,983.87,339.4,2e-3,0.027803
0.104,0.63725,15.124,176.16,15.133,176.27,0,-0.022253,0.022253,-90,0.52814,6.1517,55.7,-4.81,9.8149,22.577,0,0,0,1520,588.84,0.1007,4.4861e-4,NaN,62.269,NaN,0.048288,1075948,283.01,0.16841,0.50099,0.63074,0.37296,0.012901,0.11513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013066,4.6,16.619,88,-90,6.2921,13.371,983.86,339.4,2e-3,0.028303
0.106,0.66785,15.477,176.51,15.486,176.62,0,-0.023322,0.023322,-90,0.54047,6.1639,55.7,-4.81,9.8149,22.066,0,0,0,1519.8,588.56,0.10069,4.4856e-4,NaN,62.266,NaN,0.049235,1097039,283.5,0.17554,0.49962,0.63242,0.37157,0.012906,0.11514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013371,4.6,16.619,88,-90,6.2778,13.371,983.86,339.4,2e-3,0.028755
0.108,0.69916,15.831,176.86,15.84,176.97,0,-0.024415,0.024415,-90,0.55282,6.176,55.7,-4.81,9.8149,21.574,0,0,0,1519.5,588.28,0.10068,4.4851e-4,NaN,62.263,NaN,0.050187,1118255,283.99,0.18277,0.49826,0.63373,0.3702,0.012912,0.11515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013677,4.6,16.619,88,-90,6.2634,13.371,983.85,339.4,2e-3,0.029393
0.11,0.73118,16.185,177.21,16.195,177.32,0,-0.025533,0.025533,-90,0.56519,6.1882,55.7,-4.81,9.8149,21.1,0,0,0,1519.2,588,0.10067,4.4846e-4,NaN,62.26,NaN,0.051145,1139594,284.47,0.1901,0.49694,0.63469,0.36886,0.012918,0.11516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013983,4.6,16.619,88,-90,6.2491,13.371,983.85,339.4,2e-3,0.029856
0.112,0.7639,16.54,177.56,16.55,177.66,0,-0.026676,0.026676,-90,0.57759,6.2004,55.7,-4.81,9.8149,20.642,0,0,0,1518.9,587.73,0.10066,4.4841e-4,NaN,62.257,NaN,0.052108,1161050,284.96,0.19753,0.49564,0.63534,0.36754,0.012924,0.11518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001429,4.6,16.619,88,-90,6.2347,13.37,983.85,339.4,2e-3,0.030311
